"Text Editing","Universal Argument","Ctrl+0","Editing Text"
"File","Close","Ctrl+F4","In Windows"
"Navigate","Open Type in Hierarchy","Shift+Ctrl+H","In Windows"
"Text Editing","Apply Macro To Region Lines","Ctrl+X Ctrl+K R","Editing Text"
"Text Editing","Lowercase","Alt+L","Editing Text"
"Text Editing","Eval Expression","Shift+Alt+;","In Windows"
"Text Editing","Line Up","Ctrl+P","Editing Text"
"Text Editing","Forward Character","Shift+Ctrl+F","Editing Text"
"File","Print","Esc F9","In Windows"
"Run/Debug","All Instances","Shift+Ctrl+N","In Windows"
"Edit","Select Next Element","Shift+Alt+Right","Editing in Structured Text Editors"
"Edit","Backward Sexp","Shift+Ctrl+Alt+B","Editing Text"
"Edit","Backward Sexp","Ctrl+Alt+B","Editing Text"
"WindowBuilder Pro","Empty command","Ctrl+Alt+A","WindowBuilder Java scope"
"Run/Debug","Run to Line","Ctrl+C Ctrl+U","Debugging"
"Text Editing","Universal Argument","Ctrl+4","Editing Text"
"Task Repositories","Mark Task Unread","Shift+Alt+U","In Tasks Editor"
"Text Editing","Scroll Line Down","Ctrl+Down","Editing Text"
"Text Editing","Scroll Down","Shift+Alt+V","Editing Text"
"Source","Remove Occurrence Annotations","Shift+Alt+U","Editing Java Source"
"Text Editing","Comment Next","Alt+N","Editing Java Source"
"File","Rename","F2","In Windows"
"Views","Show View (Problems)","Shift+Alt+Q X","In Windows"
"Text Editing","Join Other Frames","Ctrl+X 5 1","Editing Text"
"Text Editing","Switch to Buffer Other Frame","Ctrl+X 5 B","Editing Text"
"Edit","Select All","Ctrl+X H","In Dialogs and Windows"
"Text Editing","Universal Argument","Ctrl+Alt+1","Editing Text"
"Text Editing","Display Buffer Other Window","Ctrl+X 4 Ctrl+O","Editing Text"
"Task Repositories","Mark Task Incomplete","Shift+Alt+I","In Tasks Editor"
"Text Editing","Regexp I-Search forward","Ctrl+Alt+S","Editing Text"
"Text Editing","Number to Register","Ctrl+X R N","Editing Text"
"Window","Next View","Shift+Ctrl+Alt+L","In Windows"
"Text Editing","Delete Next Word","Alt+D","Editing Text"
"Text Editing","Switch to Buffer Other Window","Ctrl+X 4 B","In Windows"
"Navigate","Open Declaration","Esc .","Editing Java Source"
"Window","Toggle Split Editor (Horizontal)","Ctrl+_","In Windows"
"Text Editing","Make Frame","Ctrl+X 5 2","Editing Text"
"Edit","Context Information","Shift+Ctrl+Space","In Dialogs and Windows"
"Text Editing","Universal Argument","Ctrl+9","Editing Text"
"Text Editing","Set Mark Command","Ctrl+Space","Editing Text"
"Text Editing","Search in Project","Alt+S","Editing Text"
"Run/Debug","Close Rendering","Ctrl+W","In Memory View"
"Text Editing","Mark Paragraph","Alt+H","Editing Text"
"Window","Toggle Split Editor (Vertical)","Ctrl+{","In Windows"
"Edit","Undo","Ctrl+X U","In Windows"
"Navigate","Go to Matching Bracket","Shift+Ctrl+P","Editing Java Source"
"Run/Debug","Run","Ctrl+F11","In Windows"
"Text Editing","Back To Indent","Alt+M","Editing Text"
"Run/Debug","Use Step Filters","Shift+F5","In Windows"
"Text Editing","Universal Argument","Ctrl+Alt+6","Editing Text"
"Text Editing","Insert Line Below Current Line","Shift+Enter","Editing Text"
"Text Editing","Describe Variable","Ctrl+H V","Editing Text"
"Navigate","Quick Outline","Ctrl+O","WikiText Markup Source Context"
"Navigate","Forward History","Alt+Right","In Windows"
"Run/Debug","Toggle Breakpoint","Ctrl+X Ctrl+A Space","In Windows"
"Text Editing","Just One Space","Alt+Space","Editing Text"
"Text Editing","Scroll Other Window Down","Alt+PageUp","Editing Text"
"Edit","Backward Sexp","Esc Alt+Left","Editing Text"
"Text Editing","Comment Previous","Esc P","Editing Java Source"
"Window","Quick Access","Ctrl+3","In Windows"
"Navigate","Open Maven POM","Shift+Alt+P","In Windows"
"Text Editing","Pop Tag Mark","Shift+Alt+8","Editing Text"
"Navigate","Search Repository for Task","Shift+Ctrl+F12","In Windows"
"Edit","Context Information","Alt+?","In Windows"
"Text Editing","Text End","Ctrl+End","Editing Text"
"Text Editing","End Buffer Other Window","Alt+End","Editing Text"
"Navigate","Expand All","Shift+Ctrl+Numpad_Multiply","In Windows"
"Run/Debug","Step Return","F7","Debugging"
"Text Editing","Name Last Kbd Macro","Ctrl+X Ctrl+K N","Editing Text"
"Run/Debug","Debug","F11","In Windows"
"Window","Show Key Assist","Shift+Ctrl+L","In Dialogs and Windows"
"Edit","Select Next Element","Shift+Alt+Right","Editing Java Source"
"Edit","Select Enclosing Element","Ctrl+Alt+U","Editing Java Source"
"Source","Open Declaration","F3","Editing Ant Buildfiles"
"Focused UI","Make Less Interesting","Shift+Ctrl+Alt+Down","In Windows"
"Text Editing","Delete Next Word","Alt+Delete","Editing Text"
"Edit","Incremental Find Reverse","Shift+Ctrl+J","Editing Text"
"Text Editing","Forward Paragraph","Shift+Ctrl+Down","Editing Text"
"Text Editing","Jump to Register","Ctrl+X J","Editing Text"
"Edit","Redo","F10","In Windows"
"Run/Debug","Toggle Breakpoint","Ctrl+X Space","In Windows"
"Text Editing","Universal Argument","Ctrl+Alt+8","Editing Text"
"Text Editing","Other Window","Ctrl+X O","In Windows"
"Text Editing","Universal Argument","Ctrl+Alt+5","Editing Text"
"Views","Show View (Cheat Sheets)","Shift+Alt+Q H","In Windows"
"Text Editing","Scroll Other Window","Ctrl+Alt+V","Editing Text"
"Text Editing","Select Previous Word","Shift+Ctrl+Left","Editing Text"
"Text Editing","Indent Rigidly","Ctrl+X Tab","Editing Text"
"View","Zoom Out","Ctrl+-","In Windows"
"File","Save All","Ctrl+X S","In Windows"
"File","Print","Ctrl+P","In Windows"
"Text Editing","Next Line","Down","Editing Text"
"Text Editing","Eval Expression","Esc Shift+;","In Windows"
"Text Editing","Describe Command","Ctrl+H D","Editing Text"
"Text Editing","Delete Line","Ctrl+D","Editing Text"
"Window","Update Project","Alt+F5","In Windows"
"File","Save","Ctrl+S","In Windows"
"Edit","Copy","Ctrl+C","In Dialogs and Windows"
"Text Editing","Universal Argument","Ctrl+-","Editing Text"
"Navigate","Previous Page","Shift+Alt+F7","In Windows"
"Run/Debug","Display","Shift+Ctrl+D","In Dialogs and Windows"
"Text Editing","Reset Structure","Shift+Ctrl+Numpad_Multiply","Editing Text"
"Navigate","Previous Sub-Tab","Alt+PageUp","In Dialogs and Windows"
"Text Editing","Begin Line","Home","Editing Text"
"Edit","Forward Sexp","Esc Alt+Right","Editing Text"
"Text Editing","Other Frame","Ctrl+X 5 O","Editing Text"
"Text Editing","Describe Key Briefly","Ctrl+H C","Editing Text"
"gazonk.del","Delete Previous Word","Esc Backspace","In Console View"
"Views","Show View (Javadoc)","Shift+Alt+Q J","In Windows"
"Views","Show View (Task List)","Shift+Alt+Q K","In Windows"
"Text Editing","Delete Next","Ctrl+D","Editing Text"
"Text Editing","Yank","Ctrl+Y","Editing Text"
"Text Editing","Begin Buffer","Esc Shift+,","Editing Text"
"Run/Debug","Force Return","Shift+Alt+F","In Windows"
"Run/Debug","Previous Page of Memory","Shift+Ctrl+,","In Table Memory Rendering"
"Search","Show Occurrences in File Quick Menu","Ctrl+Alt+U","In Windows"
"Search","Find Text in Workspace","Ctrl+Alt+G","In Windows"
"Text Editing","Duplicate Lines","Ctrl+Alt+Up","Editing Text"
"Text Editing","Transpose Characters","Ctrl+T","Editing Text"
"Source","Toggle Ant Mark Occurrences","Shift+Alt+O","Editing Ant Buildfiles"
"Edit","Forward Sexp","Esc Ctrl+Right","Editing Text"
"Navigate","Open Type Hierarchy","F4","In Windows"
"Text Editing","Switch to Buffer","Ctrl+X B","In Windows"
"Edit","Next Sibling","Shift+Ctrl+Down","Editing in Structured Text Editors"
"Text Editing","To Upper Case","Shift+Ctrl+X","Editing Text"
"File","Close","Ctrl+X K","In Windows"
"Edit","Copy","Esc W","In Dialogs and Windows"
"Run/Debug","Run JUnit Test","Shift+Alt+X T","In Windows"
"Edit","Backward Sexp","Esc Ctrl+Left","Editing Text"
"Text Editing","Undo+","Ctrl+X U","Editing Text"
"Text Editing","Mark Whole Buffer","Ctrl+X H","Editing Text"
"Text Editing","Point to Register","Ctrl+X R Space","Editing Text"
"Text Editing","Down List","Ctrl+Alt+Down","Editing Text"
"Edit","Backward Sexp","Alt+Left","Editing Text"
"gazonk.del","Kill Line","Ctrl+K","Editing Text"
"File","Close All","Shift+Ctrl+W","In Windows"
"Source","Annotate Class File","Ctrl+1","Browsing attached Java Source"
"Text Editing","Count Lines Buffer","Ctrl+X L","Editing Text"
"Views","Show View (Breakpoints)","Shift+Alt+Q B","In Windows"
"Text Editing","Backward Paragraph","Ctrl+Up","Editing Text"
"Task Repositories","Show Tooltip Description","F4","In Tasks View"
"Text Editing","Previous Column","Ctrl+B","Editing Text"
"Text Editing","Next Column","Ctrl+F","Editing Text"
"Run/Debug","Step Over","F6","Debugging"
"Source","Quick Assist - Assign to local variable","Ctrl+2 L","Editing Java Source"
"Task Repositories","Mark Task Complete","Shift+Alt+C","In Tasks View"
"Views","Refresh View (Gradle Tasks)","F5","In Gradle Tasks View"
"Window","Show View Menu","Ctrl+F10","In Dialogs and Windows"
"Text Editing","Kbd Macro Start","Ctrl+X (","In Windows"
"Text Editing","Copy to Register","Ctrl+X X","Editing Text"
"Text Editing","Join Lines","Ctrl+Alt+J","Editing Text"
"Text Editing","Describe Key","Ctrl+H K","Editing Text"
"Text Editing","Cut to Beginning of Line","Esc 0 Ctrl+K","Editing Text"
"Navigate","Go To Next Unread Task","Alt+Down","In Tasks View"
"File","Close All","Shift+Ctrl+F4","In Windows"
"Edit","Previous Sibling","Shift+Ctrl+Up","Editing in Structured Text Editors"
"Text Editing","Emacs+ News","Ctrl+H N","Editing Text"
"Text Editing","End Line","Shift+Ctrl+E","Editing Text"
"Run/Debug","Run to Line","Ctrl+X Ctrl+A Ctrl+U","Debugging"
"Edit","Word Completion","Alt+/","Editing Text"
"Navigate","Quick Outline","Shift+Ctrl+O","Task Markup Editor Source Context"
"Search","Declaration in Workspace","Ctrl+G","In Windows"
"Views","Show View (Package Explorer)","Shift+Alt+Q P","In Windows"
"Text Editing","Scroll Down","Esc V","Editing Text"
"Edit","Cut","Ctrl+X","In Dialogs and Windows"
"Edit","Incremental Find Reverse","Ctrl+R","Editing Text"
"Git","Commit...","Ctrl+#","In Windows"
"Refactor - Java","Extract Local Variable","Shift+Alt+L","In Windows"
"Source","Open External Documentation","Shift+F2","Editing Ant Buildfiles"
"Text Editing","I-Search forward","Ctrl+S","Editing Text"
"Window","Show System Menu","Alt+-","In Windows"
"Text Editing","Backward Character","Left","Editing Text"
"Navigate","Next Sub-Tab","Alt+PageDown","In Dialogs and Windows"
"Text Editing","Page Up","Alt+V","Editing Text"
"Edit","Cut","Shift+Delete","In Dialogs and Windows"
"Views","Show View (Synchronize)","Shift+Alt+Q Y","In Windows"
"Views","Show View (Type Hierarchy)","Shift+Alt+Q T","In Windows"
"Text Editing","Forward Paragraph","Alt+}","Editing Text"
"Run/Debug","Step Return","Ctrl+X Ctrl+A Ctrl+F","Debugging"
"Navigate","Quick Hierarchy","Ctrl+[","Editing Java Source"
"Text Editing","Delete Previous Word","Alt+Backspace","Editing Text"
"Run/Debug","Step Into","Ctrl+C Ctrl+S","Debugging"
"Edit","Backward Kill Sexp","Esc Ctrl+Backspace","Editing Text"
"Text Editing","Kbd Macro Cycle Ring Next","Ctrl+X Ctrl+K Ctrl+N","Editing Text"
"Text Editing","Forward Paragraph","Ctrl+Down","Editing Text"
"Window","Quick Switch Editor","Ctrl+X B","In Windows"
"Navigate","Quick Outline","Ctrl+]","Editing Java Source"
"Task Repositories","Open Selected Task","Ctrl+Enter","In Tasks View"
"Text Editing","Next Word","Alt+F","Editing Text"
"Edit","Select Enclosing Element","Shift+Alt+Up","Editing in Structured Text Editors"
"Text Editing","Kbd Macro Call","Ctrl+X E","Editing Text"
"Edit","Open Selection","F3","Editing in Structured Text Editors"
"Text Editing","Page Up","Esc V","Editing Text"
"Text Editing","Collapse All","Shift+Ctrl+Numpad_Divide","Editing Text"
"Uncategorized","Show Markup Cheat Sheet","F1","WikiText Markup Source Context"
"Edit","Paste","Ctrl+V","In Dialogs and Windows"
"Text Editing","Show Tooltip Description","F2","Editing Text"
"Run/Debug","Step Into","F5","Debugging"
"Text Editing","Split Line","Ctrl+Alt+O","Editing Text"
"Text Editing","Count Lines Region","Alt+=","Editing Text"
"Window","Show Ruler Context Menu","Ctrl+F10","Editing Text"
"Navigate","Next","Ctrl+.","In Windows"
"Run/Debug","Debug JUnit Test","Shift+Alt+D T","In Windows"
"Text Editing","Backward Word","Esc B","Editing Text"
"Text Editing","Append Next Kill","Ctrl+Alt+W","Editing Text"
"Search","References in Workspace","Shift+Ctrl+G","In Windows"
"Task Repositories","New Local Task","Insert","In Tasks View"
"Views","Show View (Error Log)","Shift+Alt+Q L","In Windows"
"Source","Surround With Quick Menu","Shift+Alt+Z","In Windows"
"Edit","Toggle Block Selection","Shift+Alt+A","Editing Text"
"Text Editing","Select Line Start","Shift+Home","Editing Text"
"Focused UI","Focus on Active Task","Shift+Alt+H","In Windows"
"Text Editing","Kbd Macro End or Call","F4","Editing Text"
"Text Editing","Replace Rectangle","Ctrl+X R T","Editing Text"
"Text Editing","Universal Argument","Ctrl+5","Editing Text"
"Git","Paste Repository Path or URI","Ctrl+V","In Git Repositories View"
"Edit","Delete","Delete","In Windows"
"Edit","Content Assist","Ctrl+Enter","In Dialogs and Windows"
"gazonk.del","Kill Line","Ctrl+K","In Console View"
"File","Close All","Ctrl+X Ctrl+C","In Windows"
"Edit","Undo","Ctrl+Z","In Dialogs and Windows"
"Window","Quick Switch Editor","Ctrl+E","In Windows"
"Navigate","Open Structure","Ctrl+F3","Editing Java Source"
"Navigate","Open Resource","Ctrl+X Ctrl+F","In Windows"
"Edit","Format","Shift+Ctrl+F","Editing in Structured Text Editors"
"Navigate","Deactivate Task","Shift+Ctrl+F9","In Windows"
"Navigate","Collapse All","Shift+Ctrl+Numpad_Divide","In Windows"
"Navigate","Quick Outline","Ctrl+O","Editing in Structured Text Editors"
"Source","Toggle Mark Occurrences","Shift+Alt+O","Editing Java Source"
"Source","Toggle Comment","Ctrl+7","Editing Java Source"
"View","Zoom In","Ctrl+=","In Windows"
"Text Editing","Undo+","Shift+Ctrl+-","Editing Text"
"Text Editing","Open Rectangle","Ctrl+X R O","Editing Text"
"Refactor - Java","Change Method Signature","Shift+Alt+C","In Windows"
"Run/Debug","Toggle Memory Monitors Pane","Ctrl+T","In Memory View"
"Text Editing","Previous Word","Alt+B","Editing Text"
"File","New menu","Shift+Alt+N","In Windows"
"Edit","Find Previous","Shift+Ctrl+K","Editing Text"
"Text Editing","Text Start","Ctrl+X [","Editing Text"
"Run/Debug","Next Page of Memory","Shift+Ctrl+.","In Table Memory Rendering"
"Task Editor","Submit Task","Shift+Alt+S","In Tasks Editor"
"Text Editing","Previous Word","Ctrl+Left","Editing Text"
"Text Editing","Forward Character","Right","Editing Text"
"Text Editing","Next Line","Shift+Ctrl+N","Editing Text"
"Navigate","Go to Line","Ctrl+X G","Editing Text"
"Text Editing","Zap to Char","Alt+Z","In Windows"
"Refactor - Java","Extract Method","Shift+Alt+M","In Windows"
"Text Editing","Set Mark","Ctrl+Space","Editing Text"
"Text Editing","Delete Indentation","Shift+Alt+6","Editing Text"
"Text Editing","Text Start","Esc <","Editing Text"
"Text Editing","Transpose Lines","Ctrl+X Ctrl+T","Editing Text"
"Focused UI","Make Landmark","Shift+Ctrl+Alt+Up","In Windows"
"Text Editing","Universal Argument","Alt+9","Editing Text"
"Text Editing","Insert Register","Ctrl+X R I","Editing Text"
"File","Print","Alt+F9","In Windows"
"Navigate","Open Declaration","F3","In Windows"
"Run/Debug","Run Java Applet","Shift+Alt+X A","In Windows"
"Window","Maximize Active View or Editor","Ctrl+M","In Windows"
"Edit","Undo","Shift+Ctrl+-","In Windows"
"Text Editing","Clear Rectangle","Ctrl+X R C","Editing Text"
"Text Editing","End Buffer","Shift+Alt+.","Editing Text"
"Edit","Remove Block Comment","Shift+Ctrl+\","Editing in Structured Text Editors"
"Views","Show View (Console)","Shift+Alt+Q C","In Windows"
"Text Editing","Select Line End","Shift+End","Editing Text"
"Text Editing","Begin Line","Ctrl+A","Editing Text"
"Text Editing","Backward Word","Alt+B","Editing Text"
"Run/Debug","New Rendering","Ctrl+N","In Memory View"
"Run/Debug","Skip All Breakpoints","Ctrl+Alt+B","In Windows"
"Text Editing","Display Buffer Other Frame","Ctrl+X 5 Ctrl+O","Editing Text"
"Refactor - Java","Inline","Shift+Alt+I","In Windows"
"Text Editing","Pop Global Mark","Ctrl+X Ctrl+Space","Editing Text"
"Text Editing","Universal Argument","Ctrl+Alt+-","Editing Text"
"Run/Debug","Step Into Selection","Ctrl+F5","Debugging"
"Text Editing","Reposition Window","Ctrl+Alt+L","In Windows"
"Edit","Select Previous Element","Shift+Alt+Left","Editing Java Source"
"Text Editing","Backward Paragraph","Shift+Ctrl+Up","Editing Text"
"Edit","Add Maven Dependency","Shift+Ctrl+D","Editing XML Source"
"Run/Debug","EOF","Ctrl+D","In I/O Console"
"Window","Switch to Editor","Shift+Ctrl+E","In Windows"
"Text Editing","Insert Line Above Current Line","Ctrl+O","Editing Text"
"File","Save","Ctrl+X Ctrl+S","In Windows"
"Focused UI","Show Context Quick View","Shift+Ctrl+Alt+Right","In Windows"
"Text Editing","Join Other Windows","Ctrl+X 1","In Windows"
"Text Editing","Text End","Shift+Alt+>","Editing Text"
"Navigate","Last Edit Location","Ctrl+Q","In Windows"
"Source","Add Javadoc Comment","Shift+Alt+J","In Windows"
"Text Editing","Pop Tag Mark","Alt+*","Editing Text"
"Text Editing","Scroll Down","Esc Shift+V","Editing Text"
"Edit","Add Block Comment","Shift+Ctrl+/","Editing in Structured Text Editors"
"Run/Debug","Run Ant Build","Shift+Alt+X Q","In Windows"
"Text Editing","Scroll Up","Ctrl+V","Editing Text"
"Text Editing","Universal Argument","Alt+0","Editing Text"
"Window","Previous Perspective","Shift+Ctrl+F8","In Windows"
"Edit","Format Active Elements","Ctrl+I","Editing in Structured Text Editors"
"Run/Debug","Debug Ant Build","Shift+Alt+D Q","In Windows"
"Navigate","Forward History","Ctrl+X Ctrl+Right","In Windows"
"Text Editing","Backward Word","Ctrl+Left","Editing Text"
"Text Editing","Toggle Folding","Ctrl+Numpad_Divide","Editing Text"
"Text Editing","Insert Register","Ctrl+X G","Editing Text"
"Navigate","Open Type","Shift+Ctrl+T","In Windows"
"Git","Copy Path to Clipboard","Ctrl+C","In Git Repositories View"
"Edit","Add Maven Plugin","Shift+Ctrl+P","Editing XML Source"
"Window","Previous View","Shift+Ctrl+F7","In Windows"
"Text Editing","Uppercase","Alt+U","Editing Text"
"Text Editing","Yank Pop","Alt+Y","Editing Text"
